;SMILES;FIA;FIA (COSMO);AN;WERC;pKh;Ea;Ca;Yield;Excess_AvsB;Cook1963;Frazer1962;Lappert;50microA_CH2Cl2;50microA_DMF;Delta_Epa_Maity;Delta_E1/2_DPV_Maity;Complexing_power;Potentiel_pic_3eq;Potentiel_pic_1eq;Equivalents;In Silico Beckett-Childs
198;[F-].[F-].[F-].[Mo+5].[O-2];418.0;;;;;;;;;;;;;;;;;;;;
199;[F-].[F-].[Mg+2];404.0;;;;;;;;;;;;;;;;;;;;
200;[F-].[Li+];309.0;;;;;;;;;;;;;;;;;;;;
201;[F-].[Mg+2];1037.0;;;;;;;;;;;;;;;;;;;;
202;[F-].[Na+];273.0;;;;;;;;;;;;;;;;;;;;
203;[Fe+2];;;69.0;3.2;9.5;;;;;;;;;;;;1.6;;;;
204;[Fe+3];;;79.15;;;;;;;;;;;;;;4.1;;;;
205;[Ga+3];433.0;;;0.0007599999999999999;2.6;;;;;;;;;;;;2.42;;;;
206;[Gd+3];;;;63.0;8.0;;;;;;;;;;;;;;;;
207;[Ge+4];472.0;;;;;;;;;;;;;;;;;;;;
208;[H+];;;;;;;;;;;;;;;;;1.1;;;;
209;[Hf+4];;;;;0.25;;;;;;;;;;;;;;;;
210;[Hg+2];;;;2000.0;3.4;;;;;;-36.0;;;;;;;;;;
211;[Ho+3];;;;61.0;8.0;;;;;;;;;;;;;;;;
212;[In+3];457.0;;;0.04;4.0;;;;;;;;;;;;2.32;;;;
213;[K+];;;33875;150.0;14.46;;;;;;;;;;-0.05;-16.0;0.05;;;;
214;[La+3];;;54.5;210.0;8.5;;;;;;;;;;;;;;;;
215;[Li+];774.0;;42.46;47.0;13.64;;;;;;;;-1.46;;0.09;73.0;0.4;;;;
216;[Lu+3];;;;60.0;7.6;;;;;;;;;;;;;;;;
217;[Mg+2];;;54.3;0.53;11.44;;;;;;;;-1335;-1.53;0.27;141.0;1.15;-1.44;-1.38;5;23
218;[Mn+2];;;62.4;31.0;10.59;;;;;;;;;;;;2.25;;;;
